Vendor ID,Vendor Address Code - Remit To,Vendor Name,Address 1,Address 2,City,State,Zip Code,Vendor Contact Email,Phone Number 1,Document Number,Document Date,Due Date,Payment Date,Payment Number,Gross Amount,Net Amount,Discount Amount,Document Type
3SIGMA,REMIT TO,3 SIGMA CORP,PO BOX 42627,,MIDDLETOWN,OH,45042-0627,,(937) 440-3400  Ext. 0000,CI-0000010791,11/28/16,12/28/16,2/15/17,46000,"2,455.20","2,455.20",0,Invoice
ACPLTD,REMIT TO,"Acpo, Ltd.",PO Box 637686,,Cincinnati,OH,45263-7686,,,280354,1/11/17,2/10/17,2/15/17,46001,426.24,426.24,0,Invoice
ACPLTD,REMIT TO,"Acpo, Ltd.",PO Box 637686,,Cincinnati,OH,45263-7686,,,281453,1/26/17,2/25/17,2/15/17,46001,497.08,497.08,0,Invoice
ACPLTD,REMIT TO,"Acpo, Ltd.",PO Box 637686,,Cincinnati,OH,45263-7686,,,281736,1/31/17,3/2/17,2/15/17,46001,339.42,339.42,0,Invoice
ACPLTD,REMIT TO,"Acpo, Ltd.",PO Box 637686,,Cincinnati,OH,45263-7686,,,281936,2/2/17,3/4/17,2/15/17,46001,249.95,249.95,0,Invoice
ACTMEC,REMIT TO,Action Mechanical Contractors,PO Box 7325,,Charlotte,NC,28241,,,19251,1/2/17,2/1/17,2/15/17,46002,450.45,450.45,0,Invoice
APIFOI,REMIT TO,API Foils Inc.,Dept CH 19947,,Palantine,IL,60055-9947,,,038824 001,12/21/16,2/19/17,2/15/17,46003,649.5,649.5,0,Invoice
EXCSTA,REMIT TO,EXCEL STAFFING,PO BOX 26470,,SAN FRANCISCO,CA,94126,,(000) 000-0000  Ext. 0000,935015,1/28/17,1/28/17,2/15/17,46004,479.5,479.5,0,Invoice
FASROL,REMIT TO,Fasson Roll North America,PO Box 96989,,Chicago,IL,60693,,,84380928,1/11/17,3/12/17,2/15/17,46005,"12,342.95","12,342.95",0,Invoice
FASROL,REMIT TO,Fasson Roll North America,PO Box 96989,,Chicago,IL,60693,,,84258629,9/14/16,11/13/16,2/15/17,46005,"4,047.30","4,047.30",0,Invoice
FASROL,REMIT TO,Fasson Roll North America,PO Box 96989,,Chicago,IL,60693,,,84263601,9/14/16,11/13/16,2/15/17,46005,"8,176.41","8,176.41",0,Invoice
FASROL,REMIT TO,Fasson Roll North America,PO Box 96989,,Chicago,IL,60693,,,84264014,9/14/16,11/13/16,2/15/17,46005,"6,193.29","6,193.29",0,Invoice
FASROL,REMIT TO,Fasson Roll North America,PO Box 96989,,Chicago,IL,60693,,,84265180,9/15/16,11/14/16,2/15/17,46005,"5,272.50","5,272.50",0,Invoice
FASROL,REMIT TO,Fasson Roll North America,PO Box 96989,,Chicago,IL,60693,,,84264409,9/14/16,11/13/16,2/15/17,46005,"1,406.56","1,406.56",0,Invoice
FASROL,REMIT TO,Fasson Roll North America,PO Box 96989,,Chicago,IL,60693,,,84266900,9/16/16,11/15/16,2/15/17,46005,"6,181.93","6,181.93",0,Invoice
FASROL,REMIT TO,Fasson Roll North America,PO Box 96989,,Chicago,IL,60693,,,84265965,9/15/16,11/14/16,2/15/17,46005,"1,842.91","1,842.91",0,Invoice
FASROL,REMIT TO,Fasson Roll North America,PO Box 96989,,Chicago,IL,60693,,,84268277,9/19/16,11/18/16,2/15/17,46005,396.18,396.18,0,Invoice
FASROL,REMIT TO,Fasson Roll North America,PO Box 96989,,Chicago,IL,60693,,,84271292,9/21/16,11/20/16,2/15/17,46005,"1,236.85","1,236.85",0,Invoice
FASROL,REMIT TO,Fasson Roll North America,PO Box 96989,,Chicago,IL,60693,,,84271291,9/21/16,11/20/16,2/15/17,46005,"1,524.49","1,524.49",0,Invoice
FASROL,REMIT TO,Fasson Roll North America,PO Box 96989,,Chicago,IL,60693,,,84269753,9/20/16,11/19/16,2/15/17,46005,285.83,285.83,0,Invoice
FASROL,REMIT TO,Fasson Roll North America,PO Box 96989,,Chicago,IL,60693,,,84272570,9/22/16,11/21/16,2/15/17,46005,"13,267.98","13,267.98",0,Invoice
FASROL,REMIT TO,Fasson Roll North America,PO Box 96989,,Chicago,IL,60693,,,84272571,9/22/16,11/21/16,2/15/17,46005,493.51,493.51,0,Invoice
FASROL,,Fasson Roll North America,PO Box 96989,,Chicago,IL,60693,,,C8095629,9/26/16,,2/15/17,46005,-162.64,-162.64,0,Credit Memo